SaleID,Date,CustomerID,ProductID,Quantity,TotalAmount,Name,Age,Gender,Region,Email,ProductName,Category,Price,StockQuantity,ReturnID,ReturnDate,Reason
1,2023-09-12,118,1,7,4738.02,Joel Harris,57,Male,South,linda11@cortez-scott.org,Story,Furniture,676.86,499,,,
2,2023-05-12,178,45,9,5574.42,Brittany Craig,19,Female,North,leeluke@hotmail.com,System,Furniture,619.38,13,,,
3,2023-01-22,165,4,9,2620.62,Matthew Russell,24,Male,North,chadpratt@price-welch.biz,Mission,Furniture,291.18,401,,,
4,2023-09-09,154,47,8,6400.56,Veronica Gibson,36,Male,West,allisongraham@hotmail.com,Smile,Clothing,800.07,176,,,
5,2023-01-12,165,25,2,930.42,Matthew Russell,24,Male,North,chadpratt@price-welch.biz,Thank,Clothing,465.21,231,,,
6,2023-09-27,97,10,3,1012.65,April Simmons,29,Male,East,gregorywatkins@copeland-tanner.com,Address,Electronics,337.55,68,140.0,2023-10-18,Wrong Item
7,2023-02-27,67,23,9,3256.2,Nicholas Lawrence,25,Female,West,figueroanicole@johnston.net,Few,Furniture,361.8,132,,,
8,2023-09-11,185,7,3,1400.46,Christopher Johnson,60,Male,South,christophergarcia@yahoo.com,Point,Electronics,466.82,371,144.0,2023-01-19,Changed Mind
9,2023-09-19,200,24,10,9560.6,Geoffrey Lewis,39,Female,East,marilynjimenez@mullen.com,Career,Clothing,956.06,408,,,
10,2023-07-28,52,26,6,3137.58,Ms. Cynthia Soto,58,Male,South,donna11@hotmail.com,Which,Clothing,522.93,445,,,
11,2023-01-21,118,31,6,1686.54,Joel Harris,57,Male,South,linda11@cortez-scott.org,Operation,Electronics,281.09,47,,,
12,2023-06-28,195,21,8,2440.72,Joseph Smith,41,Female,South,megan32@barnett.com,Sort,Books,305.09,64,,,
13,2023-12-03,16,19,8,1660.0,Gerald Patterson,61,Female,North,kennethadams@yahoo.com,Check,Books,207.5,346,,,
14,2023-04-11,113,15,9,5951.16,Kathy Smith,51,Female,East,danieldaniels@yahoo.com,How,Electronics,661.24,374,,,
15,2023-10-24,40,48,8,2133.52,Christopher Phillips,21,Female,North,diazmarcus@hotmail.com,Oil,Books,266.69,160,,,
16,2023-08-14,185,20,4,1006.68,Christopher Johnson,60,Male,South,christophergarcia@yahoo.com,Political,Books,251.67,261,,,
17,2023-03-07,107,27,4,1744.8,Mr. William Edwards,19,Male,West,brenda10@keller-stein.com,Safe,Books,436.2,299,,,
18,2023-02-06,57,38,10,8833.2,Eric Johnson,34,Male,West,jermaine22@harris.biz,Against,Books,883.32,290,,,
19,2023-02-19,126,32,7,3644.83,Jacob Osborn,21,Male,East,jasonrivas@jones.com,Republican,Books,520.69,81,,,
20,2023-02-21,94,24,8,7648.48,Anthony Gonzales,55,Female,West,pbrooks@glover.biz,Career,Clothing,956.06,408,,,
21,2023-01-24,194,26,8,4183.44,James Collier,54,Male,South,qacosta@webster-gonzalez.biz,Which,Clothing,522.93,445,49.0,2023-08-23,Changed Mind
22,2023-10-31,56,27,5,2181.0,Jenna Moore,46,Female,East,kurt14@hotmail.com,Safe,Books,436.2,299,,,
23,2023-11-08,22,42,3,815.55,Dawn Miles,37,Male,North,bleonard@cox.org,Republican,Electronics,271.85,139,,,
24,2023-07-26,58,17,1,512.33,Patricia Johnson,42,Male,East,shelly79@hotmail.com,Song,Furniture,512.33,373,,,
25,2023-11-30,86,48,1,266.69,Darrell Wright,65,Male,North,jamie58@ward-lewis.com,Oil,Books,266.69,160,,,
26,2023-02-28,32,24,10,9560.6,Jason Fisher,33,Female,East,jared76@hotmail.com,Career,Clothing,956.06,408,,,
27,2023-07-03,37,31,6,1686.54,Scott Brown,42,Male,South,brandonunderwood@gmail.com,Operation,Electronics,281.09,47,,,
28,2023-02-12,78,44,1,407.31,Jared Perkins,62,Male,East,jnorton@hotmail.com,Inside,Books,407.31,445,,,
29,2023-08-17,165,5,8,5895.6,Matthew Russell,24,Male,North,chadpratt@price-welch.biz,Score,Books,736.95,191,,,
30,2023-02-15,61,35,8,1352.8,Shannon Gilbert,46,Female,North,urobinson@valenzuela.com,Modern,Electronics,169.1,111,97.0,2023-06-21,Changed Mind
31,2023-03-06,96,13,10,1995.8,Phyllis Garrett,19,Female,West,cassielewis@hotmail.com,Attorney,Clothing,199.58,184,,,
32,2023-10-19,28,28,6,5551.14,Jordan Campbell,24,Male,West,samanthahernandez@davis.com,Whatever,Books,925.19,390,,,
33,2023-03-16,191,1,8,5414.88,Colin Rivera,36,Female,South,marianelson@gmail.com,Story,Furniture,676.86,499,,,
34,2023-05-24,90,3,4,1202.76,Lisa Smith,50,Female,South,michael47@hotmail.com,Skin,Electronics,300.69,343,,,
35,2023-05-18,131,6,6,3261.96,Matthew Johnson,18,Male,East,ilynch@davis.com,Window,Books,543.66,382,,,
36,2023-08-26,9,1,9,6091.74,Natalie Chen,64,Male,West,dthornton@hotmail.com,Story,Furniture,676.86,499,,,
37,2023-04-25,34,25,4,1860.84,Jennifer Gill,63,Female,East,phillipsjulie@yahoo.com,Thank,Clothing,465.21,231,,,
38,2023-03-21,92,7,1,466.82,Dennis Robinson,40,Female,South,jgould@yahoo.com,Point,Electronics,466.82,371,,,
39,2023-02-09,19,5,5,3684.75,Jeffrey Blackwell,23,Male,East,espinozakevin@johnson.biz,Score,Books,736.95,191,,,
40,2023-08-28,136,8,8,975.52,Michael Berger,32,Female,West,ylynch@whitaker-palmer.info,Office,Electronics,121.94,472,,,
41,2023-07-10,164,43,6,4498.5,Drew Joyce,51,Male,East,zallen@hotmail.com,Cup,Furniture,749.75,280,,,
42,2023-11-19,46,37,3,1709.61,Dawn Floyd,42,Male,South,dmcdonald@white-gay.org,Table,Books,569.87,183,,,
43,2023-04-25,66,24,2,1912.12,Melissa Charles,42,Female,West,christinaaustin@yahoo.com,Career,Clothing,956.06,408,105.0,2023-01-22,Defective
44,2023-05-04,150,46,3,1480.68,Roger Carlson,41,Female,North,janevazquez@nielsen.com,With,Electronics,493.56,457,30.0,2023-07-29,Wrong Item
